date: 280317, hour: 043344.000
Counter: 0 | X: 1.691841 | Y:1.546361 | Z: 1.280702
Counter: 1 | X: 1.686571 | Y:1.546553 | Z: 1.282524
Counter: 2 | X: 1.684830 | Y:1.547859 | Z: 1.283079
Counter: 3 | X: 1.684088 | Y:1.549253 | Z: 1.282151
Counter: 4 | X: 1.683805 | Y:1.548824 | Z: 1.283641
Counter: 5 | X: 1.684200 | Y:1.547758 | Z: 1.281785
Counter: 6 | X: 1.684744 | Y:1.548298 | Z: 1.282795
Counter: 7 | X: 1.685006 | Y:1.547677 | Z: 1.281661
Counter: 8 | X: 1.684673 | Y:1.548694 | Z: 1.281274
Counter: 9 | X: 1.684770 | Y:1.548177 | Z: 1.283044
Counter: 10 | X: 1.685911 | Y:1.547826 | Z: 1.282849
Counter: 11 | X: 1.686799 | Y:1.547918 | Z: 1.283704
Counter: 12 | X: 1.685450 | Y:1.548321 | Z: 1.283614
Counter: 13 | X: 1.685249 | Y:1.548116 | Z: 1.283264
Counter: 14 | X: 1.685532 | Y:1.548789 | Z: 1.282492
Counter: 15 | X: 1.685581 | Y:1.548541 | Z: 1.281891
Counter: 16 | X: 1.685051 | Y:1.547823 | Z: 1.283028
Counter: 17 | X: 1.684817 | Y:1.547939 | Z: 1.281844
Counter: 18 | X: 1.684138 | Y:1.547809 | Z: 1.282197
Counter: 19 | X: 1.685061 | Y:1.547857 | Z: 1.282502
Counter: 20 | X: 1.684775 | Y:1.548104 | Z: 1.282742
Counter: 21 | X: 1.684455 | Y:1.547709 | Z: 1.281952
Counter: 22 | X: 1.683907 | Y:1.548532 | Z: 1.282887
Counter: 23 | X: 1.684332 | Y:1.548006 | Z: 1.281729
Counter: 24 | X: 1.684447 | Y:1.547780 | Z: 1.281605
Counter: 25 | X: 1.683374 | Y:1.547537 | Z: 1.280694
Counter: 26 | X: 1.684246 | Y:1.547456 | Z: 1.282911
Counter: 27 | X: 1.683617 | Y:1.547449 | Z: 1.283067
Counter: 28 | X: 1.683377 | Y:1.547889 | Z: 1.282562
Counter: 29 | X: 1.683290 | Y:1.547546 | Z: 1.281133
Counter: 30 | X: 1.683958 | Y:1.547947 | Z: 1.282649
Counter: 31 | X: 1.683907 | Y:1.547120 | Z: 1.281480
Counter: 32 | X: 1.683170 | Y:1.546858 | Z: 1.283071
Counter: 33 | X: 1.685109 | Y:1.547496 | Z: 1.280418
Counter: 34 | X: 1.684289 | Y:1.547133 | Z: 1.282387
Counter: 35 | X: 1.684421 | Y:1.547313 | Z: 1.282524
Counter: 36 | X: 1.684725 | Y:1.546675 | Z: 1.280050
Counter: 37 | X: 1.684084 | Y:1.547767 | Z: 1.283954
Counter: 38 | X: 1.684310 | Y:1.547936 | Z: 1.282946
Counter: 39 | X: 1.684736 | Y:1.548289 | Z: 1.282425
Counter: 40 | X: 1.684357 | Y:1.547607 | Z: 1.282394
Counter: 41 | X: 1.684097 | Y:1.548360 | Z: 1.283522
Counter: 42 | X: 1.684001 | Y:1.548360 | Z: 1.282655
Counter: 43 | X: 1.684954 | Y:1.548534 | Z: 1.281914
Counter: 44 | X: 1.684276 | Y:1.548005 | Z: 1.283295
Counter: 45 | X: 1.684221 | Y:1.549297 | Z: 1.284307
Counter: 46 | X: 1.684309 | Y:1.548856 | Z: 1.282504
Counter: 47 | X: 1.684345 | Y:1.547855 | Z: 1.282065
Counter: 48 | X: 1.684183 | Y:1.549502 | Z: 1.282775
Counter: 49 | X: 1.684679 | Y:1.548538 | Z: 1.282739
Counter: 50 | X: 1.683602 | Y:1.548739 | Z: 1.282120
Counter: 51 | X: 1.683490 | Y:1.548427 | Z: 1.283166
Counter: 52 | X: 1.684663 | Y:1.548115 | Z: 1.283236
Counter: 53 | X: 1.684320 | Y:1.547579 | Z: 1.281988
Counter: 54 | X: 1.684066 | Y:1.547719 | Z: 1.281929
Counter: 55 | X: 1.684088 | Y:1.547245 | Z: 1.281781
Counter: 56 | X: 1.685804 | Y:1.547860 | Z: 1.283765
Counter: 57 | X: 1.685157 | Y:1.548237 | Z: 1.283807
