date: 280606, hour: 120000.000
Counter: 0 | X: 1.627958 | Y:1.570934 | Z: 1.277638
Counter: 1 | X: 1.627643 | Y:1.571686 | Z: 1.279017
Counter: 2 | X: 1.625958 | Y:1.572663 | Z: 1.278853
Counter: 3 | X: 1.625065 | Y:1.572986 | Z: 1.278799
Counter: 4 | X: 1.625640 | Y:1.571910 | Z: 1.278238
Counter: 5 | X: 1.626427 | Y:1.571455 | Z: 1.280065
Counter: 6 | X: 1.624669 | Y:1.571996 | Z: 1.277741
Counter: 7 | X: 1.625444 | Y:1.571299 | Z: 1.278903
Counter: 8 | X: 1.625945 | Y:1.570589 | Z: 1.279650
Counter: 9 | X: 1.624844 | Y:1.571886 | Z: 1.280068
Counter: 10 | X: 1.625396 | Y:1.571985 | Z: 1.280108
Counter: 11 | X: 1.625469 | Y:1.570964 | Z: 1.278866
Counter: 12 | X: 1.625803 | Y:1.570806 | Z: 1.280601
Counter: 13 | X: 1.624985 | Y:1.571172 | Z: 1.280069
Counter: 14 | X: 1.625169 | Y:1.571586 | Z: 1.279106
Counter: 15 | X: 1.626568 | Y:1.570193 | Z: 1.277704
Counter: 16 | X: 1.627037 | Y:1.570484 | Z: 1.278481
Counter: 17 | X: 1.626075 | Y:1.570754 | Z: 1.278303
Counter: 18 | X: 1.625164 | Y:1.569943 | Z: 1.277688
Counter: 19 | X: 1.626424 | Y:1.570893 | Z: 1.278805
Counter: 20 | X: 1.625544 | Y:1.571480 | Z: 1.280386
Counter: 21 | X: 1.625731 | Y:1.571899 | Z: 1.280592
Counter: 22 | X: 1.626406 | Y:1.571051 | Z: 1.280266
Counter: 23 | X: 1.626524 | Y:1.570463 | Z: 1.279954
Counter: 24 | X: 1.625621 | Y:1.571754 | Z: 1.279936
Counter: 25 | X: 1.626004 | Y:1.571924 | Z: 1.278192
Counter: 26 | X: 1.626576 | Y:1.571241 | Z: 1.279278
Counter: 27 | X: 1.626088 | Y:1.572248 | Z: 1.279666
Counter: 28 | X: 1.625933 | Y:1.573140 | Z: 1.278489
Counter: 29 | X: 1.625519 | Y:1.572257 | Z: 1.278466
Counter: 30 | X: 1.626678 | Y:1.572358 | Z: 1.278266
Counter: 31 | X: 1.626621 | Y:1.572610 | Z: 1.278699
Counter: 32 | X: 1.626442 | Y:1.573024 | Z: 1.277652
Counter: 33 | X: 1.626988 | Y:1.573027 | Z: 1.278330
Counter: 34 | X: 1.627115 | Y:1.573143 | Z: 1.280030
Counter: 35 | X: 1.627009 | Y:1.573610 | Z: 1.278012
Counter: 36 | X: 1.627275 | Y:1.573474 | Z: 1.277758
Counter: 37 | X: 1.627241 | Y:1.573061 | Z: 1.278528
Counter: 38 | X: 1.627608 | Y:1.573310 | Z: 1.279845
Counter: 39 | X: 1.627114 | Y:1.574076 | Z: 1.280072
Counter: 40 | X: 1.627044 | Y:1.573568 | Z: 1.278320
Counter: 41 | X: 1.627418 | Y:1.573171 | Z: 1.278309
Counter: 42 | X: 1.626694 | Y:1.573942 | Z: 1.278695
Counter: 43 | X: 1.625998 | Y:1.573875 | Z: 1.278641
Counter: 44 | X: 1.627470 | Y:1.573418 | Z: 1.279272
Counter: 45 | X: 1.626939 | Y:1.573444 | Z: 1.278680
Counter: 46 | X: 1.626534 | Y:1.573806 | Z: 1.279406
Counter: 47 | X: 1.626845 | Y:1.573870 | Z: 1.278597
Counter: 48 | X: 1.628064 | Y:1.572301 | Z: 1.277352
Counter: 49 | X: 1.627614 | Y:1.573730 | Z: 1.278029
Counter: 50 | X: 1.626748 | Y:1.573288 | Z: 1.277265
Counter: 51 | X: 1.626800 | Y:1.572750 | Z: 1.278083
Counter: 52 | X: 1.627526 | Y:1.572614 | Z: 1.279391
Counter: 53 | X: 1.626836 | Y:1.573131 | Z: 1.279561
Counter: 54 | X: 1.627027 | Y:1.572319 | Z: 1.278352
Counter: 55 | X: 1.627084 | Y:1.571757 | Z: 1.277896
Counter: 56 | X: 1.626179 | Y:1.572504 | Z: 1.279215
Counter: 57 | X: 1.625889 | Y:1.572910 | Z: 1.278516
Counter: 58 | X: 1.626565 | Y:1.572384 | Z: 1.278057
Counter: 59 | X: 1.626385 | Y:1.571296 | Z: 1.278871
Counter: 60 | X: 1.626331 | Y:1.571826 | Z: 1.278324
Counter: 61 | X: 1.625579 | Y:1.571910 | Z: 1.278203
Counter: 62 | X: 1.626341 | Y:1.571557 | Z: 1.279002
Counter: 63 | X: 1.625909 | Y:1.571103 | Z: 1.278447
Counter: 64 | X: 1.625711 | Y:1.572115 | Z: 1.279852
Counter: 65 | X: 1.625448 | Y:1.571666 | Z: 1.278926
Counter: 66 | X: 1.626298 | Y:1.571248 | Z: 1.279114
Counter: 67 | X: 1.625773 | Y:1.571112 | Z: 1.280759
Counter: 68 | X: 1.625485 | Y:1.571209 | Z: 1.279128
Counter: 69 | X: 1.626115 | Y:1.571452 | Z: 1.278059
Counter: 70 | X: 1.625237 | Y:1.570349 | Z: 1.278657
Counter: 71 | X: 1.624970 | Y:1.571200 | Z: 1.279772
Counter: 72 | X: 1.625466 | Y:1.570785 | Z: 1.280035
Counter: 73 | X: 1.626905 | Y:1.570558 | Z: 1.279770
Counter: 74 | X: 1.626343 | Y:1.571212 | Z: 1.279433
Counter: 75 | X: 1.625471 | Y:1.571476 | Z: 1.278165
Counter: 76 | X: 1.626036 | Y:1.571658 | Z: 1.277916
Counter: 77 | X: 1.626992 | Y:1.571542 | Z: 1.279702
Counter: 78 | X: 1.625891 | Y:1.571661 | Z: 1.280646
Counter: 79 | X: 1.625378 | Y:1.571586 | Z: 1.278969
Counter: 80 | X: 1.625796 | Y:1.571398 | Z: 1.278505
Counter: 81 | X: 1.627099 | Y:1.572455 | Z: 1.278851
Counter: 82 | X: 1.627076 | Y:1.572919 | Z: 1.277488
Counter: 83 | X: 1.626514 | Y:1.571641 | Z: 1.277659
Counter: 84 | X: 1.626989 | Y:1.571887 | Z: 1.278813
Counter: 85 | X: 1.626045 | Y:1.572889 | Z: 1.278596
Counter: 86 | X: 1.626253 | Y:1.572636 | Z: 1.277004
Counter: 87 | X: 1.627048 | Y:1.571653 | Z: 1.278278
Counter: 88 | X: 1.626722 | Y:1.572676 | Z: 1.279646
Counter: 89 | X: 1.626110 | Y:1.572500 | Z: 1.280384
Counter: 90 | X: 1.626846 | Y:1.572942 | Z: 1.279370
Counter: 91 | X: 1.626534 | Y:1.573055 | Z: 1.278748
Counter: 92 | X: 1.626574 | Y:1.573248 | Z: 1.277683
Counter: 93 | X: 1.626434 | Y:1.573566 | Z: 1.278843
Counter: 94 | X: 1.626471 | Y:1.573878 | Z: 1.277861
Counter: 95 | X: 1.627345 | Y:1.572832 | Z: 1.277571
Counter: 96 | X: 1.627891 | Y:1.572940 | Z: 1.277813
Counter: 97 | X: 1.627083 | Y:1.572085 | Z: 1.277946
Counter: 98 | X: 1.628361 | Y:1.573699 | Z: 1.277846
Counter: 99 | X: 1.625517 | Y:1.573872 | Z: 1.278693
Counter: 100 | X: 1.626859 | Y:1.572782 | Z: 1.278097
Counter: 101 | X: 1.626742 | Y:1.572961 | Z: 1.278774
Counter: 102 | X: 1.627017 | Y:1.571953 | Z: 1.278303
Counter: 103 | X: 1.626479 | Y:1.573272 | Z: 1.276062
Counter: 104 | X: 1.627366 | Y:1.572167 | Z: 1.276967
Counter: 105 | X: 1.627687 | Y:1.571975 | Z: 1.278219
Counter: 106 | X: 1.627178 | Y:1.572167 | Z: 1.277951
Counter: 107 | X: 1.627162 | Y:1.572830 | Z: 1.278378
Counter: 108 | X: 1.627025 | Y:1.571978 | Z: 1.279343
Counter: 109 | X: 1.626698 | Y:1.571940 | Z: 1.279736
Counter: 110 | X: 1.626560 | Y:1.572199 | Z: 1.278598
Counter: 111 | X: 1.626319 | Y:1.571799 | Z: 1.278663
Counter: 112 | X: 1.627565 | Y:1.571561 | Z: 1.279342
Counter: 113 | X: 1.626540 | Y:1.573076 | Z: 1.279128
Counter: 114 | X: 1.625913 | Y:1.572144 | Z: 1.279599
Counter: 115 | X: 1.626342 | Y:1.571667 | Z: 1.280994
Counter: 116 | X: 1.626799 | Y:1.572265 | Z: 1.279832
Counter: 117 | X: 1.625759 | Y:1.572366 | Z: 1.279380
Counter: 118 | X: 1.625853 | Y:1.571418 | Z: 1.278872
Counter: 119 | X: 1.626254 | Y:1.570809 | Z: 1.279295
Counter: 120 | X: 1.625799 | Y:1.570742 | Z: 1.279238
Counter: 121 | X: 1.625260 | Y:1.571569 | Z: 1.278515
Counter: 122 | X: 1.626409 | Y:1.570984 | Z: 1.279053
Counter: 123 | X: 1.626300 | Y:1.571177 | Z: 1.279877
Counter: 124 | X: 1.625548 | Y:1.571738 | Z: 1.279374
Counter: 125 | X: 1.625412 | Y:1.571488 | Z: 1.277640
Counter: 126 | X: 1.626543 | Y:1.571123 | Z: 1.278397
Counter: 127 | X: 1.626529 | Y:1.571360 | Z: 1.280647
Counter: 128 | X: 1.626161 | Y:1.571301 | Z: 1.277870
Counter: 129 | X: 1.626781 | Y:1.570315 | Z: 1.277438
Counter: 130 | X: 1.626780 | Y:1.570940 | Z: 1.279186
Counter: 131 | X: 1.625967 | Y:1.572036 | Z: 1.278655
Counter: 132 | X: 1.625223 | Y:1.571925 | Z: 1.279138
Counter: 133 | X: 1.625938 | Y:1.571416 | Z: 1.279677
Counter: 134 | X: 1.626533 | Y:1.570761 | Z: 1.278300
Counter: 135 | X: 1.625581 | Y:1.572030 | Z: 1.278705
Counter: 136 | X: 1.626011 | Y:1.572558 | Z: 1.279389
Counter: 137 | X: 1.626490 | Y:1.572620 | Z: 1.278926
Counter: 138 | X: 1.626678 | Y:1.572226 | Z: 1.279450
Counter: 139 | X: 1.626171 | Y:1.572171 | Z: 1.278852
Counter: 140 | X: 1.626177 | Y:1.571747 | Z: 1.278307
Counter: 141 | X: 1.626754 | Y:1.572176 | Z: 1.278946
Counter: 142 | X: 1.626252 | Y:1.573144 | Z: 1.278847
Counter: 143 | X: 1.625149 | Y:1.573309 | Z: 1.279649
Counter: 144 | X: 1.626105 | Y:1.572703 | Z: 1.278099
Counter: 145 | X: 1.626786 | Y:1.573985 | Z: 1.278854
Counter: 146 | X: 1.626060 | Y:1.573369 | Z: 1.278125
Counter: 147 | X: 1.626834 | Y:1.572585 | Z: 1.277082
Counter: 148 | X: 1.627005 | Y:1.573231 | Z: 1.278130
Counter: 149 | X: 1.625360 | Y:1.573711 | Z: 1.279294
Counter: 150 | X: 1.626077 | Y:1.572310 | Z: 1.276722
Counter: 151 | X: 1.626867 | Y:1.572425 | Z: 1.278947
Counter: 152 | X: 1.626600 | Y:1.573718 | Z: 1.280090
Counter: 153 | X: 1.626301 | Y:1.573687 | Z: 1.278818
Counter: 154 | X: 1.627174 | Y:1.572812 | Z: 1.278781
Counter: 155 | X: 1.626989 | Y:1.573172 | Z: 1.278789
Counter: 156 | X: 1.626637 | Y:1.573877 | Z: 1.278699
Counter: 157 | X: 1.626054 | Y:1.573235 | Z: 1.278386
Counter: 158 | X: 1.627380 | Y:1.572661 | Z: 1.278359
Counter: 159 | X: 1.626525 | Y:1.572459 | Z: 1.278855
Counter: 160 | X: 1.626479 | Y:1.573396 | Z: 1.278712
Counter: 161 | X: 1.626026 | Y:1.572691 | Z: 1.278934
Counter: 162 | X: 1.627201 | Y:1.571803 | Z: 1.277785
Counter: 163 | X: 1.627579 | Y:1.572947 | Z: 1.278753
Counter: 164 | X: 1.626880 | Y:1.573593 | Z: 1.278739
Counter: 165 | X: 1.627216 | Y:1.572835 | Z: 1.278622
