Counter: 71 | X: 847 | Y: 725 | Z: 943
Counter: 72 | X: 846 | Y: 725 | Z: 944
Counter: 73 | X: 846 | Y: 725 | Z: 944
Counter: 74 | X: 847 | Y: 724 | Z: 944
Counter: 75 | X: 846 | Y: 724 | Z: 944
Counter: 76 | X: 846 | Y: 724 | Z: 945
Counter: 77 | X: 847 | Y: 725 | Z: 945
Counter: 78 | X: 847 | Y: 724 | Z: 944
Counter: 79 | X: 847 | Y: 725 | Z: 945
Counter: 80 | X: 846 | Y: 725 | Z: 946
Counter: 81 | X: 848 | Y: 725 | Z: 945
Counter: 82 | X: 848 | Y: 725 | Z: 945
Counter: 83 | X: 846 | Y: 724 | Z: 945
Counter: 84 | X: 846 | Y: 724 | Z: 945
Counter: 85 | X: 847 | Y: 724 | Z: 944
Counter: 86 | X: 846 | Y: 725 | Z: 944
Counter: 87 | X: 845 | Y: 725 | Z: 944
Counter: 88 | X: 846 | Y: 725 | Z: 945
Counter: 89 | X: 847 | Y: 725 | Z: 945
Counter: 90 | X: 846 | Y: 725 | Z: 944
Counter: 91 | X: 847 | Y: 725 | Z: 944
Counter: 92 | X: 847 | Y: 725 | Z: 944
Counter: 93 | X: 848 | Y: 725 | Z: 945
Counter: 94 | X: 847 | Y: 725 | Z: 944
Counter: 95 | X: 847 | Y: 725 | Z: 945
Counter: 96 | X: 847 | Y: 725 | Z: 944
Counter: 97 | X: 847 | Y: 725 | Z: 944
Counter: 98 | X: 847 | Y: 725 | Z: 945
Counter: 99 | X: 847 | Y: 725 | Z: 944
Counter: 100 | X: 846 | Y: 725 | Z: 944
Counter: 101 | X: 847 | Y: 725 | Z: 944
Counter: 102 | X: 847 | Y: 725 | Z: 945
Counter: 103 | X: 847 | Y: 725 | Z: 945
Counter: 104 | X: 846 | Y: 724 | Z: 944
Counter: 105 | X: 847 | Y: 724 | Z: 943
Counter: 106 | X: 846 | Y: 725 | Z: 944
Counter: 107 | X: 846 | Y: 725 | Z: 943
Counter: 108 | X: 846 | Y: 725 | Z: 944
Counter: 109 | X: 847 | Y: 724 | Z: 943
Counter: 110 | X: 847 | Y: 724 | Z: 943
Counter: 111 | X: 846 | Y: 724 | Z: 944
Counter: 112 | X: 846 | Y: 724 | Z: 944
Counter: 113 | X: 845 | Y: 724 | Z: 944
Counter: 114 | X: 845 | Y: 724 | Z: 943
Counter: 115 | X: 847 | Y: 725 | Z: 944
Counter: 116 | X: 846 | Y: 724 | Z: 943
Counter: 117 | X: 847 | Y: 724 | Z: 943
Counter: 118 | X: 847 | Y: 724 | Z: 943
Counter: 119 | X: 847 | Y: 725 | Z: 943
Counter: 120 | X: 846 | Y: 725 | Z: 944
Counter: 121 | X: 846 | Y: 725 | Z: 944
Counter: 122 | X: 847 | Y: 725 | Z: 944
Counter: 123 | X: 847 | Y: 725 | Z: 943
Counter: 124 | X: 847 | Y: 725 | Z: 944
Counter: 125 | X: 848 | Y: 724 | Z: 944
Counter: 126 | X: 847 | Y: 724 | Z: 944
Counter: 127 | X: 846 | Y: 724 | Z: 944
Counter: 128 | X: 847 | Y: 725 | Z: 944
Counter: 129 | X: 847 | Y: 725 | Z: 943
Counter: 130 | X: 846 | Y: 725 | Z: 944
Counter: 131 | X: 846 | Y: 725 | Z: 944
Counter: 132 | X: 846 | Y: 725 | Z: 943
Counter: 133 | X: 847 | Y: 725 | Z: 944
Counter: 134 | X: 847 | Y: 725 | Z: 944
Counter: 135 | X: 847 | Y: 725 | Z: 944
Counter: 136 | X: 848 | Y: 724 | Z: 943
Counter: 137 | X: 847 | Y: 725 | Z: 944
Counter: 138 | X: 847 | Y: 725 | Z: 943
Counter: 139 | X: 846 | Y: 725 | Z: 944
Counter: 140 | X: 847 | Y: 725 | Z: 944
Counter: 141 | X: 847 | Y: 725 | Z: 944
Counter: 142 | X: 848 | Y: 725 | Z: 943
Counter: 143 | X: 847 | Y: 725 | Z: 944
Counter: 144 | X: 848 | Y: 725 | Z: 945
Counter: 145 | X: 848 | Y: 724 | Z: 944
Counter: 146 | X: 847 | Y: 724 | Z: 944
Counter: 147 | X: 847 | Y: 725 | Z: 944
Counter: 148 | X: 847 | Y: 725 | Z: 944
Counter: 149 | X: 848 | Y: 724 | Z: 944
Counter: 150 | X: 847 | Y: 724 | Z: 944
Counter: 151 | X: 848 | Y: 725 | Z: 944
Counter: 152 | X: 847 | Y: 725 | Z: 945
Counter: 153 | X: 847 | Y: 725 | Z: 945
Counter: 154 | X: 847 | Y: 725 | Z: 944
Counter: 155 | X: 847 | Y: 725 | Z: 944
Counter: 156 | X: 847 | Y: 725 | Z: 945
Counter: 157 | X: 847 | Y: 725 | Z: 944
Counter: 158 | X: 848 | Y: 725 | Z: 944
Counter: 159 | X: 848 | Y: 725 | Z: 944
Counter: 160 | X: 849 | Y: 724 | Z: 944
Counter: 161 | X: 847 | Y: 725 | Z: 944
Counter: 162 | X: 847 | Y: 725 | Z: 943
Counter: 163 | X: 848 | Y: 725 | Z: 943
Counter: 164 | X: 847 | Y: 725 | Z: 943
Counter: 165 | X: 847 | Y: 725 | Z: 943
Counter: 166 | X: 847 | Y: 725 | Z: 944
Counter: 167 | X: 847 | Y: 724 | Z: 944
Counter: 168 | X: 847 | Y: 724 | Z: 944
Counter: 169 | X: 847 | Y: 725 | Z: 944
Counter: 170 | X: 847 | Y: 724 | Z: 944
Counter: 171 | X: 847 | Y: 724 | Z: 944
Counter: 172 | X: 847 | Y: 725 | Z: 944
Counter: 173 | X: 847 | Y: 724 | Z: 944
Counter: 174 | X: 846 | Y: 724 | Z: 944
Counter: 175 | X: 846 | Y: 724 | Z: 944
Counter: 176 | X: 845 | Y: 724 | Z: 944
Counter: 177 | X: 848 | Y: 724 | Z: 944
Counter: 178 | X: 847 | Y: 724 | Z: 944
Counter: 179 | X: 847 | Y: 725 | Z: 945
Counter: 180 | X: 848 | Y: 725 | Z: 944
Counter: 181 | X: 846 | Y: 724 | Z: 943
Counter: 182 | X: 846 | Y: 725 | Z: 944
Counter: 183 | X: 845 | Y: 724 | Z: 944
Counter: 184 | X: 847 | Y: 725 | Z: 943
Counter: 185 | X: 847 | Y: 724 | Z: 943
Counter: 186 | X: 847 | Y: 724 | Z: 944
Counter: 187 | X: 847 | Y: 724 | Z: 944
Counter: 188 | X: 846 | Y: 725 | Z: 944
Counter: 189 | X: 847 | Y: 725 | Z: 943
Counter: 190 | X: 847 | Y: 725 | Z: 943
Counter: 191 | X: 847 | Y: 725 | Z: 943
Counter: 192 | X: 846 | Y: 725 | Z: 943
Counter: 193 | X: 846 | Y: 725 | Z: 944
Counter: 194 | X: 846 | Y: 724 | Z: 944
Counter: 195 | X: 846 | Y: 724 | Z: 944
Counter: 196 | X: 846 | Y: 724 | Z: 945
Counter: 197 | X: 845 | Y: 724 | Z: 944
Counter: 198 | X: 846 | Y: 725 | Z: 944
Counter: 199 | X: 846 | Y: 724 | Z: 944
Counter: 200 | X: 846 | Y: 724 | Z: 944
Counter: 201 | X: 846 | Y: 725 | Z: 943
Counter: 202 | X: 847 | Y: 725 | Z: 944
Counter: 203 | X: 847 | Y: 725 | Z: 944
Counter: 204 | X: 848 | Y: 724 | Z: 943
Counter: 205 | X: 848 | Y: 725 | Z: 943
Counter: 206 | X: 847 | Y: 725 | Z: 943
Counter: 207 | X: 848 | Y: 725 | Z: 943
Counter: 208 | X: 847 | Y: 724 | Z: 944
Counter: 209 | X: 847 | Y: 724 | Z: 944
Counter: 210 | X: 846 | Y: 724 | Z: 944
Counter: 211 | X: 846 | Y: 724 | Z: 944
Counter: 212 | X: 847 | Y: 723 | Z: 944
Counter: 213 | X: 847 | Y: 724 | Z: 943
Counter: 214 | X: 847 | Y: 724 | Z: 943
Counter: 215 | X: 847 | Y: 724 | Z: 944
Counter: 216 | X: 848 | Y: 724 | Z: 944
Counter: 217 | X: 845 | Y: 724 | Z: 944
Counter: 218 | X: 846 | Y: 725 | Z: 944
Counter: 219 | X: 847 | Y: 724 | Z: 945
Counter: 220 | X: 847 | Y: 725 | Z: 944
Counter: 221 | X: 847 | Y: 725 | Z: 944
Counter: 222 | X: 847 | Y: 725 | Z: 944
Counter: 223 | X: 847 | Y: 725 | Z: 944
Counter: 224 | X: 846 | Y: 725 | Z: 944
Counter: 225 | X: 847 | Y: 725 | Z: 944
Counter: 226 | X: 847 | Y: 725 | Z: 944
Counter: 227 | X: 847 | Y: 724 | Z: 944
Counter: 228 | X: 847 | Y: 725 | Z: 944
Counter: 229 | X: 847 | Y: 725 | Z: 944
Counter: 230 | X: 847 | Y: 725 | Z: 944
Counter: 231 | X: 847 | Y: 725 | Z: 944
Counter: 232 | X: 848 | Y: 725 | Z: 944
Counter: 233 | X: 847 | Y: 725 | Z: 944
Counter: 234 | X: 846 | Y: 725 | Z: 944
Counter: 235 | X: 847 | Y: 725 | Z: 944
Counter: 236 | X: 847 | Y: 724 | Z: 944
Counter: 237 | X: 848 | Y: 725 | Z: 945
Counter: 238 | X: 848 | Y: 725 | Z: 945
Counter: 239 | X: 848 | Y: 725 | Z: 944
Counter: 240 | X: 847 | Y: 725 | Z: 944
Counter: 241 | X: 847 | Y: 725 | Z: 944
Counter: 242 | X: 847 | Y: 725 | Z: 944
Counter: 243 | X: 847 | Y: 725 | Z: 944
Counter: 244 | X: 847 | Y: 725 | Z: 944
Counter: 245 | X: 846 | Y: 724 | Z: 944
Counter: 246 | X: 846 | Y: 724 | Z: 944
Counter: 247 | X: 847 | Y: 724 | Z: 945
Counter: 248 | X: 847 | Y: 725 | Z: 944
Counter: 249 | X: 848 | Y: 725 | Z: 945
Counter: 250 | X: 847 | Y: 725 | Z: 945
Counter: 251 | X: 846 | Y: 724 | Z: 945
Counter: 252 | X: 846 | Y: 724 | Z: 944
Counter: 253 | X: 847 | Y: 725 | Z: 945
Counter: 254 | X: 848 | Y: 725 | Z: 944
Counter: 255 | X: 848 | Y: 726 | Z: 945
Counter: 256 | X: 847 | Y: 725 | Z: 943
Counter: 257 | X: 847 | Y: 725 | Z: 944
Counter: 258 | X: 847 | Y: 725 | Z: 944
Counter: 259 | X: 848 | Y: 725 | Z: 944
Counter: 260 | X: 846 | Y: 725 | Z: 943
Counter: 261 | X: 845 | Y: 725 | Z: 943
Counter: 262 | X: 846 | Y: 725 | Z: 943
Counter: 263 | X: 846 | Y: 725 | Z: 943
Counter: 264 | X: 848 | Y: 725 | Z: 944
Counter: 265 | X: 846 | Y: 725 | Z: 944
Counter: 266 | X: 846 | Y: 725 | Z: 944
Counter: 267 | X: 846 | Y: 725 | Z: 944
Counter: 268 | X: 846 | Y: 725 | Z: 945
Counter: 269 | X: 847 | Y: 724 | Z: 945
Counter: 270 | X: 848 | Y: 724 | Z: 944
Counter: 271 | X: 847 | Y: 725 | Z: 944
Counter: 272 | X: 847 | Y: 725 | Z: 944
Counter: 273 | X: 848 | Y: 724 | Z: 944
Counter: 274 | X: 848 | Y: 724 | Z: 944
Counter: 275 | X: 847 | Y: 725 | Z: 944
Counter: 276 | X: 848 | Y: 724 | Z: 945
Counter: 277 | X: 847 | Y: 725 | Z: 945
Counter: 278 | X: 847 | Y: 725 | Z: 944
Counter: 279 | X: 847 | Y: 725 | Z: 944
Counter: 280 | X: 847 | Y: 725 | Z: 945
Counter: 281 | X: 846 | Y: 724 | Z: 944
Counter: 282 | X: 845 | Y: 724 | Z: 944
Counter: 283 | X: 846 | Y: 724 | Z: 944
Counter: 284 | X: 846 | Y: 725 | Z: 945
Counter: 285 | X: 847 | Y: 724 | Z: 945
Counter: 286 | X: 847 | Y: 725 | Z: 945
Counter: 287 | X: 847 | Y: 725 | Z: 944
Counter: 0 | X: 847 | Y: 725 | Z: 944
Counter: 1 | X: 845 | Y: 725 | Z: 944
Counter: 2 | X: 847 | Y: 725 | Z: 944
Counter: 3 | X: 847 | Y: 725 | Z: 944
Counter: 4 | X: 848 | Y: 724 | Z: 944
Counter: 5 | X: 846 | Y: 724 | Z: 944
Counter: 6 | X: 847 | Y: 724 | Z: 944
Counter: 7 | X: 846 | Y: 724 | Z: 944
Counter: 8 | X: 846 | Y: 725 | Z: 943
Counter: 9 | X: 846 | Y: 724 | Z: 944
Counter: 10 | X: 847 | Y: 724 | Z: 944
Counter: 11 | X: 847 | Y: 725 | Z: 944
Counter: 12 | X: 846 | Y: 725 | Z: 944
Counter: 13 | X: 847 | Y: 725 | Z: 944
Counter: 14 | X: 847 | Y: 725 | Z: 944
Counter: 15 | X: 847 | Y: 725 | Z: 943
Counter: 16 | X: 848 | Y: 725 | Z: 944
Counter: 17 | X: 847 | Y: 725 | Z: 945
Counter: 18 | X: 847 | Y: 725 | Z: 944
Counter: 19 | X: 847 | Y: 725 | Z: 944
Counter: 20 | X: 847 | Y: 725 | Z: 945
Counter: 21 | X: 847 | Y: 725 | Z: 945
Counter: 22 | X: 847 | Y: 725 | Z: 944
Counter: 23 | X: 847 | Y: 725 | Z: 944
Counter: 24 | X: 847 | Y: 725 | Z: 944
Counter: 25 | X: 847 | Y: 725 | Z: 944
Counter: 26 | X: 847 | Y: 725 | Z: 944
Counter: 27 | X: 847 | Y: 725 | Z: 944
Counter: 28 | X: 848 | Y: 725 | Z: 944
Counter: 29 | X: 846 | Y: 725 | Z: 944
Counter: 30 | X: 846 | Y: 725 | Z: 944
Counter: 31 | X: 846 | Y: 725 | Z: 944
Counter: 32 | X: 846 | Y: 725 | Z: 944
Counter: 33 | X: 846 | Y: 725 | Z: 945
Counter: 34 | X: 846 | Y: 725 | Z: 945
Counter: 35 | X: 846 | Y: 725 | Z: 944
Counter: 36 | X: 847 | Y: 725 | Z: 944
Counter: 37 | X: 846 | Y: 725 | Z: 944
Counter: 38 | X: 846 | Y: 725 | Z: 944
Counter: 39 | X: 847 | Y: 725 | Z: 944
Counter: 40 | X: 846 | Y: 725 | Z: 944
Counter: 41 | X: 847 | Y: 725 | Z: 945
Counter: 42 | X: 847 | Y: 725 | Z: 944
Counter: 43 | X: 847 | Y: 725 | Z: 944
Counter: 44 | X: 847 | Y: 725 | Z: 943
Counter: 45 | X: 847 | Y: 725 | Z: 944
Counter: 46 | X: 847 | Y: 725 | Z: 945
Counter: 47 | X: 846 | Y: 725 | Z: 945
Counter: 48 | X: 846 | Y: 725 | Z: 944
Counter: 49 | X: 848 | Y: 725 | Z: 943
Counter: 50 | X: 849 | Y: 725 | Z: 944
Counter: 51 | X: 848 | Y: 725 | Z: 944
Counter: 52 | X: 847 | Y: 725 | Z: 944
Counter: 53 | X: 847 | Y: 725 | Z: 944
Counter: 54 | X: 847 | Y: 725 | Z: 944
Counter: 55 | X: 847 | Y: 725 | Z: 944
Counter: 56 | X: 848 | Y: 725 | Z: 944
Counter: 57 | X: 845 | Y: 725 | Z: 943
Counter: 58 | X: 846 | Y: 725 | Z: 944
Counter: 59 | X: 847 | Y: 725 | Z: 943
Counter: 60 | X: 847 | Y: 725 | Z: 944
Counter: 61 | X: 847 | Y: 725 | Z: 944
Counter: 62 | X: 847 | Y: 725 | Z: 945
Counter: 63 | X: 847 | Y: 725 | Z: 944
Counter: 64 | X: 846 | Y: 725 | Z: 944
Counter: 65 | X: 847 | Y: 725 | Z: 943
Counter: 66 | X: 846 | Y: 725 | Z: 944
Counter: 67 | X: 846 | Y: 724 | Z: 944
Counter: 68 | X: 847 | Y: 724 | Z: 943
Counter: 69 | X: 847 | Y: 725 | Z: 944
Counter: 70 | X: 848 | Y: 725 | Z: 944
Counter: 71 | X: 847 | Y: 725 | Z: 944
Counter: 72 | X: 847 | Y: 724 | Z: 944
Counter: 73 | X: 847 | Y: 724 | Z: 944
Counter: 74 | X: 846 | Y: 724 | Z: 943
Counter: 75 | X: 847 | Y: 724 | Z: 944
Counter: 76 | X: 847 | Y: 724 | Z: 943
Counter: 77 | X: 848 | Y: 725 | Z: 944
Counter: 78 | X: 847 | Y: 725 | Z: 944
Counter: 79 | X: 848 | Y: 725 | Z: 943
Counter: 80 | X: 847 | Y: 725 | Z: 945
Counter: 81 | X: 847 | Y: 725 | Z: 944
Counter: 82 | X: 847 | Y: 725 | Z: 944
Counter: 83 | X: 848 | Y: 725 | Z: 944
Counter: 84 | X: 848 | Y: 725 | Z: 944
Counter: 85 | X: 847 | Y: 724 | Z: 944
Counter: 86 | X: 848 | Y: 724 | Z: 944
Counter: 87 | X: 847 | Y: 725 | Z: 944
Counter: 88 | X: 848 | Y: 725 | Z: 945
Counter: 89 | X: 847 | Y: 725 | Z: 945
Counter: 90 | X: 848 | Y: 725 | Z: 945
Counter: 91 | X: 847 | Y: 725 | Z: 945
Counter: 92 | X: 847 | Y: 725 | Z: 944
Counter: 93 | X: 847 | Y: 725 | Z: 944
Counter: 94 | X: 847 | Y: 725 | Z: 943
Counter: 95 | X: 848 | Y: 725 | Z: 944
Counter: 96 | X: 847 | Y: 725 | Z: 944
